เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"ว.1441/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/03/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1514/2548"	"ฟ้องศาล"	1		0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1516/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1517/2548"	"ฟ้องศาล"	4	0	0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1519/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1520/2548"	"ฟ้องศาล"	0	3	0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1521/2548"	"ฟ้องศาล"	3	5	0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1525/2548"	"ฟ้องศาล"	0	1	0	0	0	"06/13/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1526/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/14/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1530/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/14/05 00:00:00"		"06/22/05 00:00:00"									0							
"ว.1531/2548"	"ฟ้องศาล"	0	1	0	0	0	"06/14/05 00:00:00"		"06/22/62 00:00:00"									0							
"ว.1532/2548"	"ฟ้องศาล"	0	2	0	0	0	"06/14/05 00:00:00"		"06/22/05 00:00:00"									0							
"1338/2548"		0		0	0	0												0							
"ว.1595/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/23/05 00:00:00"											0							
"ว.1609/2548"	"ฟ้องศาล"	1		0	0	0	"06/26/05 00:00:00"											0							
"ว.1608/2548"	"ฟ้องศาล"	1		0	0	0	"06/26/05 00:00:00"											0							
"ว.1610/2548"	"ฟ้องศาล"		4	0	0	0	"06/26/05 00:00:00"											0							
"ว.1577/2548"	"ฟ้องศาล"	1		0	0	0												0							
"ว.1612/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/27/05 00:00:00"		"08/10/05 00:00:00"									0							
"ว.1617/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/27/05 00:00:00"											0							
"1793/2548"	"ฟ้องศาล"	1	2	3	0	0	"06/28/05 00:00:00"											0							
"1789/2548"	"ฟ้องศาล"	0	0	1	0	0	"06/27/05 00:00:00"											0							
"1790/2548"	"ฟ้องศาล"	0	0	1	0	0	"06/27/05 00:00:00"											0							
"1791/2548"	"ฟ้องศาล"	0	0	1	0	0	"06/28/05 00:00:00"											0							
"1792/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/28/05 00:00:00"											0							
"1794/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/27/05 00:00:00"											0							
"1843/2548"	"ฟ้องศาล"		1	1	0	0	"06/29/05 00:00:00"											0							
"ว.1643/2548"	"ฟ้องศาล"	2	0	0	0	0	"06/29/05 00:00:00"											0							
"ว.1640/2548"	"ฟ้องศาล"	1	0	0	0	0	"06/29/05 00:00:00"											0							
"ว.1626/2548"	"ฟ้องศาล"	4		0	0	0	"06/28/05 00:00:00"											0							
"ว.1624/2548"	"ฟ้องศาล"	1	4	0	0	0	"06/28/05 00:00:00"											0							
"1215/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/02/05 00:00:00"											0							
"1643/2548"	"ฟ้องศาล"	0	1	1	0	0	"06/29/05 00:00:00"		"06/29/05 00:00:00"									0							
"1753/2548"	"ฟ้องศาล"	1	0	0	0	0												0							
"1685/2548"	"ฟ้องศาล"	1	0	0	0	0												0							
"1775/2548"	"ฟ้องศาล"	1	0	1	0	0	"06/24/05 00:00:00"											0							
"1852/2548"	"ฟ้องศาล"	1	0	1	0	0	"07/01/05 00:00:00"											0							
"1796/2548"	"ฟ้องศาล"	1		1	0	0	"06/27/05 00:00:00"											0							
"1883/2548"	"ฟ้องศาล"	1		0	0	0	"07/01/05 00:00:00"											0							
"1863/2548"	"ฟ้องศาล"		1	1	0	0	"07/01/05 00:00:00"											0							
"1864/2548"	"ฟ้องศาล"		1	1	0	0	"07/01/05 00:00:00"											0							
